iter	Passed	Remaining
0	144	14314
1	146	7176
2	147	4785
3	149	3590
4	151	2871
5	152	2393
6	154	2050
7	155	1792
8	157	1589
9	158	1427
10	159	1294
11	161	1182
12	162	1087
13	164	1008
14	165	939
15	166	876
16	168	821
17	169	771
18	170	727
19	171	687
20	172	650
21	174	617
22	175	588
23	177	561
24	178	536
25	180	513
26	181	491
27	182	470
28	184	451
29	185	433
30	187	416
31	188	400
32	189	385
33	191	371
34	192	357
35	193	344
36	195	332
37	196	320
38	196	308
39	198	297
40	199	286
41	200	276
42	201	267
43	203	258
44	204	250
45	205	241
46	207	233
47	208	225
48	209	218
49	210	210
50	212	203
51	213	197
52	214	190
53	216	184
54	217	178
55	218	172
56	220	166
57	221	160
58	223	155
59	224	149
60	225	144
61	226	139
62	228	133
63	229	128
64	230	124
65	231	119
66	232	114
67	233	110
68	235	105
69	236	101
70	237	96
71	238	92
72	239	88
73	241	84
74	242	80
75	243	76
76	244	72
77	245	69
78	246	65
79	247	61
80	249	58
81	250	54
82	251	51
83	252	48
84	253	44
85	254	41
86	255	38
87	256	34
88	257	31
89	258	28
90	259	25
91	260	22
92	261	19
93	262	16
94	263	13
95	264	11
96	265	8
97	266	5
98	267	2
99	268	0
